Advisor ID,Client Name,Client ID,CreditScore,Gender,Age,Advisor_Age,Retired,Children(Y/N),Tenure,Recency,Frequency,Monetory, Small systematic Risk,Annual Return,Excess Return,Systematic Risk,NumberOfClients,PortfolioSize,Financial_lit,rating_trust,other_advisors,rating_knowledge,rating_comm,rating_avail,InvestmentGoal_Education,InvestmentGoal_Retirement,InvestmentGoal_Short-term,ModeCommunication_email,ModeCommunication_personal,ModeCommunication_phone,ModeCommunication_skype, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,REI
83,ABC,0,619,0,42,54,0,1,2,1,2,4,0,0.139,0.01,1.33,9,101348.88,5,3,0,1,1,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0.95
115,DEF,1,608,0,41,44,0,1,1,4,4,5,0,0.143,0.01,1.17,11,112542.58,3,5,1,2,2,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,GHI,2,502,0,42,53,0,1,8,2,1,2,0,0.173,0.018,1.3,7,113931.57,3,3,1,3,5,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0.965
85,JKL,3,699,0,39,52,0,0,1,4,4,1,0,0.096,-0.002,1.39,8,93826.63,2,4,1,2,5,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0.002
79,PQR,4,850,0,43,47,0,0,2,3,2,1,0,0.096,0.001,1.04,24,79084.1,3,5,0,2,4,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0.021
45,TSY,5,645,1,44,49,0,1,8,3,2,4,1,0.07,-0.005,1.1,17,149756.71,3,3,1,3,2,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0.762
88,UJH,6,822,1,50,39,0,1,7,4,4,3,0,0.195,0.026,0.97,23,10062.8,4,5,1,1,3,5,0,0,1,0,1,0,0,0.5,0.5,0,0,0,0,0.005
22,GJGK,7,376,0,29,44,0,1,4,3,1,2,0,0.164,0.016,1.32,12,119346.88,3,3,1,1,4,1,0,0,1,1,0,0,0,0.5,0,0.5,0,0,0,0.98
143,HJKHK,8,501,1,44,44,0,1,4,5,3,2,0,0.185,0.022,1.06,22,74940.5,2,3,1,2,2,4,1,0,0,1,0,0,0,0,0.5,0.5,0,0,0,0.002
76,DXC,9,684,1,27,56,0,1,2,4,3,5,0,0.15,0.015,1.05,11,71725.73,5,5,1,3,5,2,1,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0
57,BN,10,528,1,31,42,0,0,6,4,2,5,0,0.159,0.015,1.17,10,80181.12,5,5,1,2,5,5,0,0,1,0,1,0,0,0,0.5,0,0.5,0,0,0.001
68,ABC,11,497,1,24,55,0,0,3,4,3,3,0,0.17,0.018,1.16,23,76390.01,4,3,1,2,4,5,0,0,1,0,1,0,0,0,0,0.5,0.5,0,0,0.002
85,DEF,12,476,0,34,55,0,1,10,3,2,3,0,0.14,0.011,1.09,25,26260.98,4,4,1,3,4,5,1,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0.019
108,GHI,13,549,0,25,40,0,0,5,5,4,3,0,0.123,0.008,1.01,21,190857.79,3,5,0,3,3,1,0,1,0,0,1,0,0,0,0.5,0,0,0.5,0,0.001
17,JKL,14,635,0,35,46,0,0,7,2,3,5,0,0.145,0.013,1.07,22,65951.65,5,3,1,1,1,2,1,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0.011
140,PQR,15,616,1,45,45,0,1,3,5,2,3,0,0.09,-0.001,1.15,17,64327.26,4,5,0,1,5,1,0,0,1,0,0,1,0,0,0,0,0.5,0.5,0,0.004
45,TSY,16,653,1,58,50,0,1,1,2,1,1,0.5,0.118,0.009,0.97,7,5097.67,4,3,1,2,3,3,1,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0.97
137,UJH,17,549,0,24,59,0,1,9,3,4,3,0.5,0.154,0.017,0.99,15,14406.41,5,3,1,3,4,3,1,0,0,0,1,0,0,0,0.5,0,0,0,0.5,0.01
